wts1-R-1	SPAC1006.01
wts1-R-2	SPAC1006.02
wts1-R-3	SPAC1006.03c
wts1-R-4	SPAC1006.04c
wts1-R-5	SPAC1006.05c
wts1-R-6	SPAC1006.06
wts1-R-7	SPAC1006.07
wts1-R-8	SPAC1006.08
wts1-R-9	SPAC1006.09
wts1-R-10	SPAC1250.05
wts26-R-1	SPBC428.10
wts26-R-2	SPBC428.11
wts26-R-3	SPBC428.12c
wts26-R-4	SPBC428.13c
wts26-R-5	SPBC428.14
wts26-R-6	SPBC428.15
wts26-R-7	SPBC428.16c
wts26-R-8	SPBC428.17c
wts26-R-9	SPBC428.18
wts26-R-10	SPBC428.19c
wts2-R-1	SPBC1706.03
wts2-R-2	SPBC839.02
wts2-R-3	SPBC839.03c
wts2-R-4	SPBC839.04
wts2-R-5	SPBC839.20
wts2-R-6	SPBC839.05c
wts2-R-7	SPBC839.19
wts2-R-8	SPBC839.06
wts2-R-9	SPBC839.07
wts2-R-10	SPBC839.08c
wts30-R-1	SPBC18H10.19
wts30-R-2	SPBC18H10.20c
wts30-R-3	SPBC9B6.03
wts30-R-4	SPBC9B6.04c
wts30-R-5	SPBC9B6.05c
wts30-R-6	SPBC9B6.06
wts30-R-7	SPBC9B6.07
wts30-R-8	SPBC9B6.08
wts30-R-9	SPBC9B6.09c
wts30-R-10	SPBC9B6.10
wts31-R-1	SPBC1711.16
wts31-R-2	SPBC1711.17
wts31-R-3	SPBC17G9.02c
wts31-R-4	SPBC17G9.03c
wts31-R-5	SPBC17G9.04c
wts31-R-6	SPBC17G9.05
wts31-R-7	SPBC17G9.06c
wts31-R-8	SPBC17G9.07
wts31-R-9	SPBC17G9.08c
wts31-R-10	SPBC17G9.09
wts29-R-1	SPCC1884.02
wts29-R-2	SPCC757.02c
wts29-R-3	SPCC757.03c
wts29-R-4	SPCC757.04
wts29-R-5	SPCC757.05c
wts29-R-6	SPCC757.06
wts29-R-7	SPCC757.07c
wts29-R-8	SPCC757.15
wts29-R-9	SPCC757.08
wts29-R-10	SPCC757.09c
wts0403-R-1	SPCC548.04
wts0403-R-2	SPCC548.05c
wts0403-R-3	SPCC548.06c
wts0403-R-4	SPCC548.07c
wts0403-R-5	SPCC1529.01
wts0403-R-6	SPCC794.01c
wts0403-R-7	SPCC794.03
wts0403-R-8	SPCC794.04c
wts0403-R-9	SPCC794.16
wts0403-R-10	SPCC794.06
wts5-R-1	SPCC794.03
wts5-R-2	SPCC794.04c
wts5-R-3	SPCC794.16
wts5-R-4	SPCC794.06
wts5-R-5	SPCC794.07
wts5-R-6	SPCC794.08
wts5-R-7	SPCC794.09c
wts5-R-8	SPCC794.10
wts5-R-9	SPCC794.11c
