wts1-L-1	SPAC2E12.03c
wts1-L-2	SPAC2E12.02
wts1-L-3	SPAC22E12.19
wts1-L-4	SPAC22E12.18
wts1-L-5	SPAC22E12.17c
wts1-L-6	SPAC22E12.16c
wts1-L-7	SPAC22E12.14c
wts1-L-8	SPAC22E12.13c
wts1-L-9	SPAC22E12.11c
wts1-L-10	SPAC22E12.10c
wts26-L-1	SPBC428.08c
wts26-L-2	SPBC428.07
wts26-L-3	SPBC428.06c
wts26-L-4	SPBC428.05c
wts26-L-5	SPBC428.04
wts26-L-6	SPBC428.03c
wts26-L-7	SPBC428.02c
wts26-L-8	SPBC428.01c
wts26-L-9	SPBC582.10c
wts26-L-10	SPBC582.09
wts2-L-1	SPBC1706.01
wts2-L-2	SPBC354.15
wts2-L-3	SPBC354.14c
wts2-L-4	SPBC354.13
wts2-L-5	SPBC354.12
wts2-L-6	SPBC354.11c
wts2-L-7	SPBC354.10
wts2-L-8	SPBC354.09c
wts2-L-9	SPBC354.08c
wts2-L-10	SPBC354.07c
wts30-L-1	SPBC18H10.18c
wts30-L-2	SPBC18H10.17c
wts30-L-3	SPBC18H10.16
wts30-L-4	SPBC18H10.15
wts30-L-5	SPBC18H10.14
wts30-L-6	SPBC18H10.13
wts30-L-7	SPBC18H10.12c
wts30-L-8	SPBC18H10.11c
wts30-L-9	SPBC18H10.10c
wts30-L-10	SPBC18H10.09
wts31-L-1	SPBC1711.15c
wts31-L-2	SPBC1711.14
wts31-L-3	SPBC1711.13
wts31-L-4	SPBC1711.12
wts31-L-5	SPBC1711.11
wts31-L-6	SPBC1711.10c
wts31-L-7	SPBC1711.09c
wts31-L-8	SPBC1711.08
wts31-L-9	SPBC1711.07
wts31-L-10	SPBC1711.18
wts29-L-1	SPCC1884.01
wts29-L-2	SPCP20C8.04
wts29-L-3	SPCP20C8.02c
wts29-L-4	SPCP20C8.01c
wts0403-L-1	SPCC1235.15
wts0403-L-2	SPCC1235.14
wts0403-L-3	SPCC1235.18
wts0403-L-4	SPCC1235.17
wts0403-L-5	SPCC1235.13
